,Name,Author,Abstract,Download link
0,Quantifying Interpretability and Trust in Machine Learning Systems,"['Philipp Schmidt', 'Felix Biessmann']","Decisions by Machine Learning (ML) models have become ubiquitous. Trusting these decisions requires understanding how algorithms take them. Hence interpretability methods for ML are an active focus of research. A central problem in this context is that both the quality of interpretability methods as well as trust in ML predictions are difficult to measure. Yet evaluations, comparisons and improvements of trust and interpretability require quantifiable measures. Here we propose a quantitative measure for the quality of interpretability methods. Based on that we derive a quantitative measure of trust in ML decisions. Building on previous work we propose to measure intuitive understanding of algorithmic decisions using the information transfer rate at which humans replicate ML model predictions. We provide empirical evidence from crowdsourcing experiments that the proposed metric robustly differentiates interpretability methods. The proposed metric also demonstrates the value of interpretability for ML assisted human decision making: in our experiments providing explanations more than doubled productivity in annotation tasks. However unbiased human judgement is critical for doctors, judges, policy makers and others. Here we derive a trust metric that identifies when human decisions are overly biased towards ML predictions. Our results complement existing qualitative work on trust and interpretability by quantifiable measures that can serve as objectives for further improving methods in this field of research.
        ? Less",https://arxiv.org/pdf/1901.08558
1,When Machine Learning Meets Big Data: A Wireless Communication Perspective,"['Yuanwei Liu', 'Suzhi Bi', 'Zhiyuan Shi', 'Lajos Hanzo']","We have witnessed an exponential growth in commercial data services, which has lead to the big data's era. Machine learning, as one of the most promising artificial intelligence tools of analyzing the deluge of data, has been invoked in many research areas both in academia and industry. The aim of this article is twin-fold. Firstly, we review big data analysis and machine learning, along with their potential applications in wireless networks. The second goal is to invoke big data analysis to predict the requirements of mobile users and to exploit it for improving the performance of wireless networks. More particularly, a unified big data aided machine learning framework is proposed, which consists of feature extraction, data modeling and prediction/online refinement. The main benefits of the proposed framework are that by relying on big data which reflects the real requirements of users, we can refine the motivation, problem formulations, and methodology of powerful machine learning algorithms in the context of wireless networks. To characterize the efficiency of the proposed framework, a pair of practical case studies are provided: 1) To predict the positioning of drone-mounted areal base stations (BSs) deployments according to specific tele-traffic requirements. 2) To predict the content caching requirements of BSs according to the users' preferences. Finally, open research opportunities are identified for motivating future investigations.
        ? Less",https://arxiv.org/pdf/1901.08329
2,Machine Learning and Deep Learning Algorithms for Bearing Fault Diagnostics - A Comprehensive Review,"['Shen Zhang', 'Shibo Zhang', 'Bingnan Wang', 'Thomas G. Habetler']","In this survey paper, we systematically summarize the current literature on studies that apply machine learning (ML) and data mining techniques to bearing fault diagnostics. Conventional ML methods, including artificial neural network (ANN), principal component analysis (PCA), support vector machines (SVM), etc., have been successfully applied to detecting and categorizing bearing faults since the last decade, while the application of deep learning (DL) methods has sparked great interest in both the industry and academia in the last five years. In this paper, we will first review the conventional ML methods, before taking a deep dive into the latest developments in DL algorithms for bearing fault applications. Specifically, the superiority of the DL based methods over the conventional ML methods are analyzed in terms of metrics directly related to fault feature extraction and classifier performances; the new functionalities offered by DL techniques that cannot be accomplished before are also summarized. In addition, to obtain a more intuitive insight, a comparative study is performed on the classifier performance and accuracy for a number of papers utilizing the open source Case Western Reserve University (CWRU) bearing data set. Finally, based on the nature of the time-series 1-D data obtained from sensors monitoring the bearing conditions, recommendations and suggestions are provided to applying DL algorithms on bearing fault diagnostics based on specific applications, as well as future research directions to further improve its performance.
        ? Less",https://arxiv.org/pdf/1901.08247
3,PD-ML-Lite: Private Distributed Machine Learning from Lighweight Cryptography,"['Maksim Tsikhanovich', 'Malik Magdon-Ismail', 'Muhammad Ishaq', 'Vassilis Zikas']","Privacy is a major issue in learning from distributed data. Recently the cryptographic literature has provided several tools for this task. However, these tools either reduce the quality/accuracy of the learning algorithm---e.g., by adding noise---or they incur a high performance penalty and/or involve trusting external authorities.
  We propose a methodology for {\sl private distributed machine learning from light-weight cryptography} (in short, PD-ML-Lite). We apply our methodology to two major ML algorithms, namely non-negative matrix factorization (NMF) and singular value decomposition (SVD). Our resulting protocols are communication optimal, achieve the same accuracy as their non-private counterparts, and satisfy a notion of privacy---which we define---that is both intuitive and measurable. Our approach is to use lightweight cryptographic protocols (secure sum and normalized secure sum) to build learning algorithms rather than wrap complex learning algorithms in a heavy-cost MPC framework.
  We showcase our algorithms' utility and privacy on several applications: for NMF we consider topic modeling and recommender systems, and for SVD, principal component regression, and low rank approximation.
        ? Less",https://arxiv.org/pdf/1901.07986
4,Machine Learning for Wireless Communications in the Internet of Things: A Comprehensive Survey,"['Jithin Jagannath', 'Nicholas Polosky', 'Anu Jagannath', 'Francesco Restuccia', 'Tommaso Melodia']","The Internet of Things (IoT) is expected to require more effective and efficient wireless communications than ever before. For this reason, techniques such as spectrum sharing and dynamic spectrum access will soon become essential components of the IoT wireless communication process. In this vision, IoT devices must be able to not only learn to autonomously extract spectrum knowledge on-the-fly from the network but also leverage such knowledge to dynamically change appropriate wireless parameters (e.g., frequency band, symbol modulation, coding rate, route selection etc) to reach the network's optimal operating point. To address the above challenges, much research has been devoted to exploring the use of machine learning to address problems in the IoT wireless communications domain. The reason behind machine learning's popularity is that it provides a general framework to solve very complex problems where a model of the phenomenon being learned is too complex to derive or too dynamic to be summarized in mathematical terms. This work provides a comprehensive survey of the state of the art in the application of machine learning techniques to address key problems in IoT wireless communications with an emphasis on its ad hoc networking aspect. First, we present extensive background notions on machine learning techniques. Then, by adopting a bottom-up approach, we examine existing work on machine learning for the IoT at the physical, data-link and network layer of the protocol stack. Thereafter, we discuss directions taken by the community towards hardware implementation to ensure the feasibility of these techniques. Finally, we provide a series of research challenges associated with the applications of machine learning techniques for IoT wireless communications.
        ? Less",https://arxiv.org/pdf/1901.07947
5,Characterization of photoexcited states in the half-filled one-dimensional extended Hubbard model assisted by machine learning,"['Kazuya Shinjo', 'Shigetoshi Sota', 'Seiji Yunoki', 'Takami Tohyama']","Photoinduced nonequilibrium states can provide new insights into the dynamical properties in strongly correlated electron systems. One of the typical and extensively studied systems is the half-filled one-dimensional extended Hubbard model (1DEHM). Here, we propose that the supervised machine learning (ML) can give useful information for characterizing the photoexcited state in 1DEHM. Using entanglement spectra as a training dataset, we construct the neural network. Judging from the trained network, we find that the quantum state driven by driving pulse has bond-spin-density wave (BSDW) order for U\lesssim2VU\lesssim2V, where UU (VV) is the on-site (nearest-neighbor) Coulomb interaction. We separately calculate the time evolution of order parameters and find that the order parameters of BSDW are actually enhanced by photoexcitation as predicted by ML. Interestingly, the enhancement of the BSDW order in the photoexcited states for the 1DEHM has never been reported previously, despite the extensive studies so far, thus demonstrating the advantage of ML to assist characterizing photoexcited quantum states.
        ? Less",https://arxiv.org/pdf/1901.07900
6,Predicting the Results of LTL Model Checking using Multiple Machine Learning Algorithms,"['Weijun Zhu', 'Mingliang Xu']","In this paper, we study how to predict the results of LTL model checking using some machine learning algorithms. Some Kripke structures and LTL formulas and their model checking results are made up data set. The approaches based on the Random Forest (RF), K-Nearest Neighbors (KNN), Decision tree (DT), and Logistic Regression (LR) are used to training and prediction. The experiment results show that the average computation efficiencies of the RF, LR, DT, and KNN-based approaches are 2066181, 2525333, 1894000 and 294 times than that of the existing approach, respectively.
        ? Less",https://arxiv.org/pdf/1901.07891
7,Micro-UAV Detection and Classification from RF Fingerprints Using Machine Learning Techniques,"['Martins Ezuma', 'Fatih Erden', 'Chethan Kumar Anjinappa', 'Ozgur Ozdemir', 'Ismail Guvenc']","This paper focuses on the detection and classification of micro-unmanned aerial vehicles (UAVs) using radio frequency (RF) fingerprints of the signals transmitted from the controller to the micro-UAV. In the detection phase, raw signals are split into frames and transformed into the wavelet domain. A Markov models-based naive Bayes approach is used to check for the presence of a UAV in each frame. In the classification phase, unlike the traditional approaches that rely solely on time-domain signals and corresponding features, the proposed technique uses the energy transient signal. This approach is more robust to noise and can cope with different modulation techniques. First, the normalized energy trajectory is generated from the energy-time-frequency distribution of the raw control signal. Next, the start and end points of the energy transient are detected by searching for the most abrupt changes in the mean of the energy trajectory. Then, a set of statistical features is extracted from the energy transient. Significant features are selected by performing neighborhood component analysis (NCA) to keep the computational cost of the algorithm low. Finally, selected features are fed to several machine learning algorithms for classification. The algorithms are evaluated experimentally using a database containing 100 RF signals from each of 14 different UAV controllers. The signals are recorded wirelessly using a high-frequency oscilloscope. The data set is randomly partitioned into training and test sets for validation with the ratio 4:1. Ten Monte Carlo simulations are run and results are averaged to assess the performance of the methods. All the micro-UAVs are detected correctly and an average accuracy of 96.3% is achieved using the k-nearest neighbor (kNN) classification. Proposed methods are also tested for different signal-to-noise ratio (SNR) levels and results are reported.
        ? Less",https://arxiv.org/pdf/1901.07703
8,What Can Machine Learning Teach Us about Communications?,"['Mengke Lian', 'Christian Häger', 'Henry D. Pfister']","Rapid improvements in machine learning over the past decade are beginning to have far-reaching effects. For communications, engineers with limited domain expertise can now use off-the-shelf learning packages to design high-performance systems based on simulations. Prior to the current revolution in machine learning, the majority of communication engineers were quite aware that system parameters (such as filter coefficients) could be learned using stochastic gradient descent. It was not at all clear, however, that more complicated parts of the system architecture could be learned as well. In this paper, we discuss the application of machine-learning techniques to two communications problems and focus on what can be learned from the resulting systems. We were pleasantly surprised that the observed gains in one example have a simple explanation that only became clear in hindsight. In essence, deep learning discovered a simple and effective strategy that had not been considered earlier.
        ? Less",https://arxiv.org/pdf/1901.07592
9,A GFML-based Robot Agent for Human and Machine Cooperative Learning on Game of Go,"['Chang-Shing Lee', 'Mei-Hui Wang', 'Li-Chuang Chen', 'Yusuke Nojima', 'Tzong-Xiang Huang', 'Jinseok Woo', 'Naoyuki Kubota', 'Eri Sato-Shimokawara', 'Toru Yamaguchi']","This paper applies a genetic algorithm and fuzzy markup language to construct a human and smart machine cooperative learning system on game of Go. The genetic fuzzy markup language (GFML)-based Robot Agent can work on various kinds of robots, including Palro, Pepper, and TMUs robots. We use the parameters of FAIR open source Darkforest and OpenGo AI bots to construct the knowledge base of Open Go Darkforest (OGD) cloud platform for student learning on the Internet. In addition, we adopt the data from AlphaGo Master sixty online games as the training data to construct the knowledge base and rule base of the co-learning system. First, the Darkforest predicts the win rate based on various simulation numbers and matching rates for each game on OGD platform, then the win rate of OpenGo is as the final desired output. The experimental results show that the proposed approach can improve knowledge base and rule base of the prediction ability based on Darkforest and OpenGo AI bot with various simulation numbers.
        ? Less",https://arxiv.org/pdf/1901.07191
10,Machine and Deep Learning Applied to Galaxy Morphology - A Complete Classification Catalog,"['P. H. Barchi', 'R. R. de Carvalho', 'R. R. Rosa', 'R. Sautter', 'M. Soares-Santos', 'B. A. D. Marques', 'E. Clua']","Morphological classification is a key piece of information to define samples of galaxies aiming to study the large-scale structure of the universe. In essence, the challenge is to build up a robust methodology to perform a reliable morphological estimate from galaxy images. Here, we investigate how to substantially improve the galaxy classification within large datasets by mimicking human classification. We combine accurate visual classifications from the Galaxy Zoo project with machine and deep learning methodologies. We propose two distinct approaches for galaxy morphology: one based on non-parametric morphology and traditional machine learning algorithms; and another based on Deep Learning. To measure the input features for the traditional machine learning methodology, we have developed a system called CyMorph, with a novel non-parametric approach to study galaxy morphology. The main dataset employed comes from the Sloan Digital Sky Survey Data Release 7 (SDSS-DR7). We also discuss the class imbalance problem considering three classes. Performance of each model is mainly measured by Overall Accuracy (OA). A spectroscopic validation with astrophysical parameters is also provided for Decision Tree models to assess the quality of our morphological classification. In all of our samples, both Deep and Traditional Machine Learning approaches have over 94.5% OA to classify galaxies among 2 classes (elliptical and spiral galaxies). We provide a catalog with ~670,000 galaxies containing our best results, including morphological metrics and classification (supplementary data link). We compare our classification with state-of-art morphological classification from literature.
        ? Less",https://arxiv.org/pdf/1901.07047
