City,Country,Summer (Olympiad),Winter,Year,latitude,longitude,,
Athens, Greece,I,,1896,37.9833333,23.7333336,,
Paris, France,II,,1900,48.85341,2.3487999,,
St. Louis, United States,III,,1904,38.6272733,-90.1978912,,
London, United Kingdom,IV,,1908,51.5084153,-0.1255327,,
Stockholm, Sweden,V,,1912,59.3325765,18.0649033,,
Antwerp, Belgium,VII,,1920,51.2166667,4.4166665,,
Chamonix, France,,I,1924,45.9237,6.8694,,
Paris, France,VIII,,,48.85341,2.3487999,,
St. Moritz,  Switzerland,,II,1928,46.4908,9.8355,,
Amsterdam, Netherlands,IX,,,52.3075,4.9722219,,
Lake Placid, United States,,III,1932,27.2931,-81.362846,,
Los Angeles, United States,X,,,34.0522342,-118.2436829,,
Garmisch-Partenkirchen, Nazi Germany,,IV,1936,47.49209,11.09576,,
Berlin, Nazi Germany,XI,,,52.5166667,13.3999996,,
St. Moritz,  Switzerland,,V,1948,46.4908,9.8355,,
London, United Kingdom,XIV,,,51.5084153,-0.1255327,,
Oslo, Norway,,VI,1952,60.1755556,24.934166,,
Helsinki, Finland,XV,,,60.1699,24.9384,,
Cortina d'Ampezzo, Italy,,VII,1956,46.5405,12.1357,,
Melbourne, Australia,XVI,,,-37.8139966,144.9633179,,
Stockholm, Sweden,,,,59.3325765,18.0649033,,
Squaw Valley, United States,,VIII,1960,39.1963,-120.2336,,
Rome, Italy,XVII,,,41.9,12.4833336,,
Innsbruck, Austria,,IX,1964,47.2666667,11.3999996,,
Tokyo, Japan,XVIII,,,35.6895266,139.6916809,,
Grenoble, France,,X,1968,45.1666667,5.7166667,,
Mexico City, Mexico,XIX,,,19.4341667,-99.1386108,,
Sapporo, Japan,,XI,1972,43.0547222,141.3538818,,
Munich, West Germany,XX,,,48.1351,11.582,,
Innsbruck, Austria,,XII,1976,47.2666667,11.3999996,,
Montreal, Canada,XXI,,,45.5167792,-73.6491776,,
Lake Placid, United States,,XIII,1980,27.2931,-81.362846,,
Moscow, Soviet Union,XXII,,,55.7522222,37.6155548,,
Sarajevo, Yugoslavia,,XIV,1984,43.85,18.3833332,,
Los Angeles, United States,XXIII,,,34.0522342,-118.2436829,,
Calgary, Canada,,XV,1988,51.0501123,-114.085289,,
Seoul, South Korea,XXIV,,,37.5663889,126.9997253,,
Albertville, France,,XVI,1992,45.6755,6.3927,,
Barcelona, Spain,XXV,,,41.3887869,2.1589851,,
Lillehammer, Norway,,XVII,1994,61.1153,10.4662,,
Atlanta, United States,XXVI,,1996,33.7489954,-84.3879852,,
Nagano, Japan,,XVIII,1998,36.65,138.1833344,,
Sydney, Australia,XXVII,,2000,-33.86785,151.2073212,,
Salt Lake City, United States,,XIX,2002,40.758701,-111.876183,,
Athens, Greece,XXVIII,,2004,37.9833333,23.7333336,,
Turin, Italy,,XX,2006,45.0703,7.6869,,
Beijing, China,XXIX,,2008,39.9074977,116.3972244,,
Vancouver, Canada,,XXI,2010,49.2496574,-123.119339,,
London, United Kingdom,XXX,,2012,51.5084153,-0.1255327,,
Sochi, Russia,,XXII,2014,43.6,39.730278,,
Rio de Janeiro, Brazil,XXXI,,2016,-22.9027778,-43.2075005,,
