,Name,Author,Abstract,Download link
0,Inference of a Multi-Domain Machine Learning Model to Predict Mortality in Hospital Stays for Patients with Cancer upon Febrile Neutropenia Onset,"['Xinsong Du', 'Jae Min', 'Dominick J. Lemas', 'Mattia Prosperi']","Febrile neutropenia (FN) has been associated with high mortality, especially among adults with cancer. Understanding the patient and provider level heterogeneity in FN hospital admissions has potential to inform personalized interventions focused on increasing survival of individuals with FN. We leverage machine learning techniques to disentangling the complex interactions among multi domain risk factors in a population with FN. Data from the Healthcare Cost and Utilization Project (HCUP) National Inpatient Sample and Nationwide Inpatient Sample (NIS) were used to build machine learning based models of mortality for adult cancer patients who were diagnosed with FN during a hospital admission. In particular, the importance of risk factors from different domains (including demographic, clinical, and hospital associated information) was studied. A set of more interpretable (decision tree, logistic regression) as well as more black box (random forest, gradient boosting, neural networks) models were analyzed and compared via multiple cross validation. Our results demonstrate that a linear prediction score of FN mortality among adults with cancer, based on admission information is effective in classifying high risk patients; clinical diagnoses is the domain with the highest predictive power. A number of the risk variables (e.g. sepsis, kidney failure, etc.) identified in this study are clinically actionable and may inform future studies looking at the patients prior medical history are warranted.
        ? Less",https://arxiv.org/pdf/1902.07839
1,Evaluating the optical classification of Fermi BCUs using machine learning,"['Shi-Ju Kang', 'Junhui Fan', 'Weiming Mao', 'Qingwen Wu', 'Jianchao Feng', 'Yue Yin']","In the third catalog of active galactic nuclei detected by the Fermi-LAT (3LAC) Clean Sample, there are 402 blazars candidates of uncertain type (BCU). Due to the limitations of astronomical observation or intrinsic properties, it is difficult to classify blazars using optical spectroscopy. The potential classification of BCUs using machine learning algorithms is essential. Based on the 3LAC Clean Sample, we collect 1420 Fermi blazars with 8 parameters of ?-ray photon spectral index, radio flux, flux density, curve significance, the integral photon flux in 100 to 300 MeV, 0.3 to 1 GeV, 10 to 100 GeV and variability index. Here, we apply 4 different supervised machine learning (SML) algorithms (\emph{Decision trees, Random forests, support vector machines and Mclust Gaussian finite mixture models}) to evaluate the classification of BCUs based on the direct observational properties. All the 4 methods can perform exceedingly well with a more accuracy and can effective forecast the classification of Fermi BCUs. The evaluating results show the results of these methods (SML) are valid and robust, where, about 1/4 sources are FSRQs and 3/4 are BL Lacs in 400 BCUs, which are consistent with some other recent results. Although a number of factors influence the accuracy of SML, the results are stable at a fixed ratio 1:3 between FSRQs and BL Lacs, which suggests that the SML can provides an effective method to evaluate the potential classification of BCUs. Among the 4 methods, Mclust Gaussian Mixture Modelling has the highest accuracy for our training sample (4/5, seed=123).
        ? Less",https://arxiv.org/pdf/1902.07717
2,Machine Learning Techniques to Detecting and Preventing Jamming Attacks in Optical Networks,"['Mounir Bensalem', 'Sandeep Kumar Singh', 'Admela Jukan']","We study the effectiveness of various machine learning techniques, including artificial neural networks, support vector machine, logistic regression, K-nearest neighbors, decision tree and Naive Bayesian, for detecting and mitigating power jamming attacks in optical networks. Our study shows that artificial neural network is the most accurate in detecting out-of-band power jamming attacks in optical networks. To further mitigating the power jamming attacks, we apply a new resource reallocation scheme that utilizes the statistical information of attack detection accuracy, and propose a resource reallocation algorithm to lower the probability of successful jamming of lightpaths. Simulation results show that higher the accuracy of detection, lower is the likelihood of jamming a lightpath.
        ? Less",https://arxiv.org/pdf/1902.07537
3,"'Zhores' -- Petaflops supercomputer for data-driven modeling, machine learning and artificial intelligence installed in Skolkovo Institute of Science and Technology","['Igor Zacharov', 'Rinat Arslanov', 'Maxim Gunin', 'Daniil Stefonishin', 'Sergey Pavlov', 'Oleg Panarin', 'Anton Maliutin', 'Sergey Rykovanov', 'Maxim Fedorov']","The Petaflops supercomputer ""Zhores"" recently launched in the ""Center for Computational and Data-Intensive Science and Engineering"" (CDISE) of Skolkovo Institute of Science and Technology (Skoltech) opens up new exciting opportunities for scientific discoveries in the institute especially in the areas of data-driven modeling, machine learning and artificial intelligence. This supercomputer utilizes the latest generation of Intel and NVidia processors to provide resources for the most compute intensive tasks of the Skoltech scientists working in digital pharma, predictive analytics, photonics, material science, image processing, plasma physics and many more. Currently it places 6th in the Russian and CIS TOP-50 (2018) supercomputer list. In this article we summarize the cluster properties and discuss the measured performance and usage modes of this scientific instrument in Skoltech.
        ? Less",https://arxiv.org/pdf/1902.07490
4,Identification of Bugs and Vulnerabilities in TLS Implementation for Windows Operating System Using State Machine Learning,"['Tarun Yadav', 'Koustav Sadhukhan']","TLS protocol is an essential part of secure Internet communication. In past, many attacks have been identified on the protocol. Most of these attacks are due to flaws in protocol implementation. The flaws are due to improper design and implementation of program logic by programmers. One of the widely used implementation of TLS is SChannel which is used in Windows operating system since its inception. We have used protocol state fuzzing to identify vulnerable and undesired state transitions in the state machine of the protocol for various versions of SChannel. The client as well as server components have been analyzed thoroughly using this technique and various flaws have been discovered in the implementation. Exploitation of these flaws under specific circumstances may lead to serious attacks which could disrupt secure communication. In this paper, we analyze state machine models of TLS protocol implementation of SChannel library and describe weaknesses and design flaws in these models, found using protocol state fuzzing.
        ? Less",https://arxiv.org/pdf/1902.07471
5,Machine-Learning-Assisted Directed Protein Evolution with Combinatorial Libraries,"['Zachary Wu', 'S. B. Jennifer Kan', 'Russell D. Lewis', 'Bruce J. Wittmann', 'Frances H. Arnold']","To reduce experimental effort associated with directed protein evolution and to explore the sequence space encoded by mutating multiple positions simultaneously, we incorporate machine learning in the directed evolution workflow. Combinatorial sequence space can be quite expensive to sample experimentally, but machine learning models trained on tested variants provide a fast method for testing sequence space computationally. We validate this approach on a large published empirical fitness landscape for human GB1 binding protein, demonstrating that machine learning-guided directed evolution finds variants with higher fitness than those found by other directed evolution approaches. We then provide an example application in evolving an enzyme to produce each of the two possible product enantiomers (stereodivergence) of a new-to-nature carbene Si-H insertion reaction. The approach predicted libraries enriched in functional enzymes and fixed seven mutations in two rounds of evolution to identify variants for selective catalysis with 93% and 79% ee. By greatly increasing throughput with in silico modeling, machine learning enhances the quality and diversity of sequence solutions for a protein engineering problem.
        ? Less",https://arxiv.org/pdf/1902.07231
6,Automating the Construction of Jet Observables with Machine Learning,"['Kaustuv Datta', 'Andrew Larkoski', 'Benjamin Nachman']","Machine-learning assisted jet substructure tagging techniques have the potential to significantly improve searches for new particles and Standard Model measurements in hadronic final states. Techniques with simple analytic forms are particularly useful for establishing robustness and gaining physical insight. We introduce a procedure to automate the construction of a large class of observables that are chosen to completely specify MM-body phase space. The procedure is validated on the task of distinguishing H\rightarrow b\bar{b}H\rightarrow b\bar{b} from g\rightarrow b\bar{b}g\rightarrow b\bar{b}, where M=3M=3 and previous brute-force approaches have established the baseline performance. We then use the new method to design tailored observables for the boosted Z'Z' search, where M=4M=4 and brute-force methods are intractable. The new classifiers outperform standard 22-prong tagging observables, illustrating the power of the new optimization method for improving searches and measurement at the LHC and beyond.
        ? Less",https://arxiv.org/pdf/1902.07180
7,Machine learning of Markovian embedding for non-Markovian quantum dynamics,"['I. A. Luchnikov', 'S. V. Vintskevich', 'D. A. Grigoriev', 'S. N. Filippov']","Machine learning methods have proved to be useful for the recognition of patterns in statistical data. The measurement outcomes are intrinsically random in quantum physics, however they do have a pattern when the measurements are performed successively on an open quantum system. This pattern is due to the system-environment interaction and contains information about the relaxation rates as well as non-Markovian memory effects. Here we develop a method to extract the information about the unknown environment from a series of single-shot measurements on the system (without resorting to the process tomography). The method is based on embedding the non-Markovian system dynamics into a Markovian dynamics of the system and the effective reservoir of finite dimension. The generator of Markovian embedding is learned by the maximum likelihood estimation. We verify the method by comparing its prediction with an exactly solvable non-Markovian dynamics. The developed algorithm to learn unknown quantum environments enables one to efficiently control and manipulate quantum systems.
        ? Less",https://arxiv.org/pdf/1902.07019
8,Democratisation of Usable Machine Learning in Computer Vision,"['Raymond Bond', 'Ansgar Koene', 'Alan Dix', 'Jennifer Boger', 'Maurice D. Mulvenna', 'Mykola Galushka', 'Bethany Waterhouse Bradley', 'Fiona Browne', 'Hui Wang', 'Alexander Wong']","Many industries are now investing heavily in data science and automation to replace manual tasks and/or to help with decision making, especially in the realm of leveraging computer vision to automate many monitoring, inspection, and surveillance tasks. This has resulted in the emergence of the 'data scientist' who is conversant in statistical thinking, machine learning (ML), computer vision, and computer programming. However, as ML becomes more accessible to the general public and more aspects of ML become automated, applications leveraging computer vision are increasingly being created by non-experts with less opportunity for regulatory oversight. This points to the overall need for more educated responsibility for these lay-users of usable ML tools in order to mitigate potentially unethical ramifications. In this paper, we undertake a SWOT analysis to study the strengths, weaknesses, opportunities, and threats of building usable ML tools for mass adoption for important areas leveraging ML such as computer vision. The paper proposes a set of data science literacy criteria for educating and supporting lay-users in the responsible development and deployment of ML applications.
        ? Less",https://arxiv.org/pdf/1902.06804
9,Seven Myths in Machine Learning Research,"['Oscar Chang', 'Hod Lipson']","We present seven myths commonly believed to be true in machine learning research, circa Feb 2019. This is an archival copy of the blog post at https://crazyoscarchang.github.io/2019/02/16/seven-myths-in-machine-learning-research/
        ? Less",https://arxiv.org/pdf/1902.06789
